"GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"GO:0090023","positive regulation of neutrophil chemotaxis",22,21,21.86,"0.03653"
"GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process",110,109,109.32,"0.03687"
"GO:0097324","melanocyte migration",2,2,1.99,"0.03687"
"GO:1904300","positive regulation of transcytosis",2,2,1.99,"0.03691"
"GO:0043116","negative regulation of vascular permeability",12,12,11.93,"0.03696"
"GO:0006334","nucleosome assembly",83,83,82.49,"0.03707"
"GO:0008595","anterior/posterior axis specification, embryo",6,6,5.96,"0.03709"
"GO:0007155","cell adhesion",879,874,873.59,"0.03711"
"GO:0002408","myeloid dendritic cell chemotaxis",3,3,2.98,"0.03718"
"GO:0006884","cell volume homeostasis",21,20,20.87,"0.03738"
"GO:1904782","negative regulation of NMDA glutamate receptor activity",3,2,2.98,"0.03766"
"GO:2000448","positive regulation of macrophage migration inhibitory factor signaling pathway",2,2,1.99,"0.03780"
"GO:0070206","protein trimerization",13,13,12.92,"0.03780"
"GO:0051272","positive regulation of cellular component movement",432,431,429.34,"0.03785"
"GO:0010751","negative regulation of nitric oxide mediated signal transduction",2,2,1.99,"0.03815"
"GO:0000715","nucleotide-excision repair, DNA damage recognition",3,3,2.98,"0.03817"
"GO:1904093","negative regulation of autophagic cell death",3,3,2.98,"0.03838"
"GO:0003323","type B pancreatic cell development",11,11,10.93,"0.03841"
"GO:0045862","positive regulation of proteolysis",282,278,280.26,"0.03857"
"GO:0098532","histone H3-K27 trimethylation",9,9,8.94,"0.03869"
"GO:0031397","negative regulation of protein ubiquitination",65,64,64.6,"0.03881"
"GO:0050873","brown fat cell differentiation",42,42,41.74,"0.03887"
"GO:0071108","protein K48-linked deubiquitination",24,24,23.85,"0.03891"
"GO:1900027","regulation of ruffle assembly",22,22,21.86,"0.03897"
"GO:0007281","germ cell development",186,185,184.86,"0.03897"
"GO:0006457","protein folding",135,133,134.17,"0.03903"
"GO:0035308","negative regulation of protein dephosphorylation",31,31,30.81,"0.03918"
"GO:0036444","calcium import into the mitochondrion",12,12,11.93,"0.03960"
"GO:0006499","N-terminal protein myristoylation",4,4,3.98,"0.03966"
"GO:0043312","neutrophil degranulation",11,11,10.93,"0.03988"
"GO:0032804","negative regulation of low-density lipoprotein particle receptor catabolic process",2,2,1.99,"0.03988"
"GO:1903862","positive regulation of oxidative phosphorylation",10,10,9.94,"0.04001"
"GO:0071035","nuclear polyadenylation-dependent rRNA catabolic process",6,6,5.96,"0.04017"
"GO:0071038","nuclear polyadenylation-dependent tRNA catabolic process",6,6,5.96,"0.04017"
"GO:0006189","'de novo' IMP biosynthetic process",4,4,3.98,"0.04029"
"GO:0046654","tetrahydrofolate biosynthetic process",6,6,5.96,"0.04030"
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle",53,53,52.67,"0.04039"
"GO:0015866","ADP transport",2,2,1.99,"0.04046"
"GO:0010518","positive regulation of phospholipase activity",31,31,30.81,"0.04051"
"GO:0032606","type I interferon production",82,82,81.5,"0.04051"
"GO:0035634","response to stilbenoid",7,7,6.96,"0.04070"
"GO:0060055","angiogenesis involved in wound healing",17,17,16.9,"0.04076"
"GO:0043473","pigmentation",70,70,69.57,"0.04089"
"GO:0035696","monocyte extravasation",8,8,7.95,"0.04100"
"GO:0042149","cellular response to glucose starvation",41,39,40.75,"0.04103"
"GO:2000173","negative regulation of branching morphogenesis of a nerve",3,3,2.98,"0.04135"
"GO:0033092","positive regulation of immature T cell proliferation in thymus",3,3,2.98,"0.04135"
"GO:0014050","negative regulation of glutamate secretion",3,3,2.98,"0.04135"
"GO:1901224","positive regulation of NIK/NF-kappaB signaling",66,66,65.59,"0.04161"
"GO:0006955","immune response",1029,1021,1022.67,"0.04164"
"GO:0065002","intracellular protein transmembrane transport",46,46,45.72,"0.04178"
"GO:0001788","antibody-dependent cellular cytotoxicity",3,3,2.98,"0.04216"
"GO:0031936","negative regulation of chromatin silencing",10,10,9.94,"0.04222"
"GO:0048711","positive regulation of astrocyte differentiation",13,13,12.92,"0.04233"
"GO:0045070","positive regulation of viral genome replication",31,30,30.81,"0.04250"
"GO:0006741","NADP biosynthetic process",4,4,3.98,"0.04281"
"GO:0000380","alternative mRNA splicing, via spliceosome",70,70,69.57,"0.04288"
"GO:0021772","olfactory bulb development",19,19,18.88,"0.04292"
"GO:0032088","negative regulation of NF-kappaB transcription factor activity",67,66,66.59,"0.04296"
"GO:1903423","positive regulation of synaptic vesicle recycling",12,11,11.93,"0.04343"
"GO:1900045","negative regulation of protein K63-linked ubiquitination",7,7,6.96,"0.04348"
"GO:0110090","positive regulation of hippocampal neuron apoptotic process",2,2,1.99,"0.04371"
"GO:2001206","positive regulation of osteoclast development",2,2,1.99,"0.04371"
"GO:0050829","defense response to Gram-negative bacterium",42,41,41.74,"0.04386"
"GO:0010941","regulation of cell death",1265,1253,1257.22,"0.04393"
"GO:0016441","posttranscriptional gene silencing",68,68,67.58,"0.04395"
"GO:0044804","autophagy of nucleus",14,14,13.91,"0.04400"
"GO:0007159","leukocyte cell-cell adhesion",273,268,271.32,"0.04401"
"GO:0000055","ribosomal large subunit export from nucleus",7,7,6.96,"0.04426"
"GO:0019941","modification-dependent protein catabolic process",537,533,533.7,"0.04441"
"GO:0001919","regulation of receptor recycling",24,23,23.85,"0.04470"
"GO:0034770","histone H4-K20 methylation",9,9,8.94,"0.04506"
"GO:0072752","cellular response to rapamycin",3,3,2.98,"0.04526"
"GO:1900016","negative regulation of cytokine production involved in inflammatory response",14,14,13.91,"0.04538"
"GO:1903980","positive regulation of microglial cell activation",5,5,4.97,"0.04540"
"GO:0018119","peptidyl-cysteine S-nitrosylation",13,12,12.92,"0.04545"
"GO:0040034","regulation of development, heterochronic",7,7,6.96,"0.04546"
"GO:0032655","regulation of interleukin-12 production",44,44,43.73,"0.04550"
"GO:0002184","cytoplasmic translational termination",3,3,2.98,"0.04551"
"GO:0036302","atrioventricular canal development",6,6,5.96,"0.04560"
"GO:0031532","actin cytoskeleton reorganization",82,82,81.5,"0.04578"
"GO:0061032","visceral serous pericardium development",5,5,4.97,"0.04580"
"GO:0048596","embryonic camera-type eye morphogenesis",14,13,13.91,"0.04610"
"GO:2000406","positive regulation of T cell migration",28,28,27.83,"0.04612"
"GO:0001959","regulation of cytokine-mediated signaling pathway",93,92,92.43,"0.04628"
"GO:0071034","CUT catabolic process",4,4,3.98,"0.04637"
"GO:0050830","defense response to Gram-positive bacterium",68,67,67.58,"0.04641"
"GO:0036037","CD8-positive, alpha-beta T cell activation",26,25,25.84,"0.04661"
"GO:0060297","regulation of sarcomere organization",6,6,5.96,"0.04662"
"GO:0044565","dendritic cell proliferation",2,2,1.99,"0.04663"
"GO:0060548","negative regulation of cell death",767,759,762.28,"0.04674"
"GO:0060979","vasculogenesis involved in coronary vascular morphogenesis",11,11,10.93,"0.04684"
"GO:0007612","learning",93,92,92.43,"0.04722"
"GO:0035621","ER to Golgi ceramide transport",4,4,3.98,"0.04740"
"GO:1903573","negative regulation of response to endoplasmic reticulum stress",48,47,47.7,"0.04744"
"GO:0051006","positive regulation of lipoprotein lipase activity",5,5,4.97,"0.04775"
"GO:0043124","negative regulation of I-kappaB kinase/NF-kappaB signaling",42,42,41.74,"0.04784"
"GO:1905322","positive regulation of mesenchymal stem cell migration",3,3,2.98,"0.04791"
"GO:0036151","phosphatidylcholine acyl-chain remodeling",7,7,6.96,"0.04793"
"GO:1903670","regulation of sprouting angiogenesis",53,53,52.67,"0.04808"
"GO:1901143","insulin catabolic process",2,2,1.99,"0.04811"
"GO:0051055","negative regulation of lipid biosynthetic process",33,33,32.8,"0.04811"
"GO:1904036","negative regulation of epithelial cell apoptotic process",32,32,31.8,"0.04835"
"GO:0031589","cell-substrate adhesion",238,238,236.54,"0.04873"
"GO:0060613","fat pad development",7,7,6.96,"0.04879"
"GO:0007100","mitotic centrosome separation",11,11,10.93,"0.04897"
"GO:0032204","regulation of telomere maintenance",79,79,78.51,"0.04914"
"GO:0001998","angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure",2,2,1.99,"0.04917"
"GO:0048312","intracellular distribution of mitochondria",10,10,9.94,"0.04924"
"GO:0006644","phospholipid metabolic process",300,296,298.15,"0.04940"
"GO:1900244","positive regulation of synaptic vesicle endocytosis",9,8,8.94,"0.04956"
"GO:0010748","negative regulation of long-chain fatty acid import across plasma membrane",4,4,3.98,"0.04961"
"GO:0016055","Wnt signaling pathway",285,284,283.25,"0.04970"
"GO:0032964","collagen biosynthetic process",40,40,39.75,"0.04993"
"GO:0006564","L-serine biosynthetic process",4,4,3.98,"0.05011"
"GO:2001269","positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway",8,8,7.95,"0.05023"
"GO:2000343","positive regulation of chemokine (C-X-C motif) ligand 2 production",11,11,10.93,"0.05025"
"GO:1902476","chloride transmembrane transport",15,14,14.91,"0.05026"
"GO:0051127","positive regulation of actin nucleation",14,14,13.91,"0.05034"
"GO:1904884","positive regulation of telomerase catalytic core complex assembly",2,2,1.99,"0.05041"
"GO:0097694","establishment of RNA localization to telomere",3,3,2.98,"0.05041"
"GO:0034243","regulation of transcription elongation from RNA polymerase II promoter",31,31,30.81,"0.05042"
"GO:0019074","viral RNA genome packaging",2,2,1.99,"0.05060"
"GO:0048733","sebaceous gland development",6,6,5.96,"0.05082"
"GO:0034121","regulation of toll-like receptor signaling pathway",60,59,59.63,"0.05127"
"GO:0045053","protein retention in Golgi apparatus",5,5,4.97,"0.05130"
"GO:0060527","prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis",4,4,3.98,"0.05147"
"GO:0032000","positive regulation of fatty acid beta-oxidation",7,7,6.96,"0.05149"
"GO:0051315","attachment of mitotic spindle microtubules to kinetochore",14,14,13.91,"0.05153"
"GO:0048251","elastic fiber assembly",7,7,6.96,"0.05160"
"GO:0034497","protein localization to phagophore assembly site",13,13,12.92,"0.05170"
"GO:0045963","negative regulation of dopamine metabolic process",3,2,2.98,"0.05179"
"GO:0040015","negative regulation of multicellular organism growth",13,13,12.92,"0.05187"
"GO:0060623","regulation of chromosome condensation",5,5,4.97,"0.05220"
"GO:0035909","aorta morphogenesis",19,19,18.88,"0.05232"
"GO:0042447","hormone catabolic process",8,8,7.95,"0.05233"
"GO:0009113","purine nucleobase biosynthetic process",7,7,6.96,"0.05244"
"GO:1904482","cellular response to tetrahydrofolate",2,2,1.99,"0.05245"
"GO:0006565","L-serine catabolic process",2,2,1.99,"0.05245"
"GO:0019264","glycine biosynthetic process from serine",2,2,1.99,"0.05245"
"GO:0045666","positive regulation of neuron differentiation",315,314,313.06,"0.05257"
"GO:1901796","regulation of signal transduction by p53 class mediator",59,59,58.64,"0.05273"
"GO:0034775","glutathione transmembrane transport",2,2,1.99,"0.05282"
"GO:0140206","dipeptide import across plasma membrane",2,2,1.99,"0.05282"
"GO:0051310","metaphase plate congression",54,54,53.67,"0.05293"
"GO:0042273","ribosomal large subunit biogenesis",69,69,68.58,"0.05301"
"GO:0002755","MyD88-dependent toll-like receptor signaling pathway",19,19,18.88,"0.05318"
"GO:0051250","negative regulation of lymphocyte activation",118,117,117.27,"0.05319"
"GO:0010976","positive regulation of neuron projection development",267,266,265.36,"0.05326"
"GO:0098963","dendritic transport of messenger ribonucleoprotein complex",6,6,5.96,"0.05329"
"GO:0060702","negative regulation of endoribonuclease activity",2,2,1.99,"0.05396"
"GO:0045324","late endosome to vacuole transport",21,21,20.87,"0.05401"
"GO:0002675","positive regulation of acute inflammatory response",24,24,23.85,"0.05408"
"GO:1903723","negative regulation of centriole elongation",2,2,1.99,"0.05417"
"GO:0042270","protection from natural killer cell mediated cytotoxicity",6,6,5.96,"0.05433"
"GO:0002489","antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent",2,2,1.99,"0.05452"
"GO:0006569","tryptophan catabolic process",4,4,3.98,"0.05453"
"GO:0070945","neutrophil-mediated killing of gram-negative bacterium",5,5,4.97,"0.05472"
"GO:0030217","T cell differentiation",226,224,224.61,"0.05480"
"GO:1990481","mRNA pseudouridine synthesis",5,5,4.97,"0.05484"
"GO:0050853","B cell receptor signaling pathway",62,62,61.62,"0.05495"
"GO:1902430","negative regulation of amyloid-beta formation",12,12,11.93,"0.05509"
"GO:0072583","clathrin-dependent endocytosis",35,35,34.78,"0.05512"
"GO:0052548","regulation of endopeptidase activity",234,230,232.56,"0.05536"
"GO:0090527","actin filament reorganization",7,7,6.96,"0.05547"
"GO:1903427","negative regulation of reactive oxygen species biosynthetic process",30,30,29.82,"0.05548"
"GO:0007566","embryo implantation",36,36,35.78,"0.05570"
"GO:0032868","response to insulin",177,175,175.91,"0.05575"
"GO:0000723","telomere maintenance",118,118,117.27,"0.05593"
"GO:0035261","external genitalia morphogenesis",2,2,1.99,"0.05627"
"GO:0019732","antifungal humoral response",5,4,4.97,"0.05657"
"GO:0008045","motor neuron axon guidance",18,18,17.89,"0.05661"
"GO:0032469","endoplasmic reticulum calcium ion homeostasis",27,27,26.83,"0.05666"
"GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",69,67,68.58,"0.05687"
"GO:0019915","lipid storage",65,65,64.6,"0.05695"
"GO:0045901","positive regulation of translational elongation",4,4,3.98,"0.05703"
"GO:0060059","embryonic retina morphogenesis in camera-type eye",4,3,3.98,"0.05711"
"GO:0051036","regulation of endosome size",4,4,3.98,"0.05714"
"GO:0000422","autophagy of mitochondrion",65,64,64.6,"0.05746"
"GO:0070593","dendrite self-avoidance",6,6,5.96,"0.05748"
"GO:0071866","negative regulation of apoptotic process in bone marrow cell",4,4,3.98,"0.05749"
"GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3,3,2.98,"0.05755"
"GO:2000480","negative regulation of cAMP-dependent protein kinase activity",7,7,6.96,"0.05756"
"GO:0060026","convergent extension",9,9,8.94,"0.05760"
"GO:2000574","regulation of microtubule motor activity",8,8,7.95,"0.05771"
"GO:0002842","positive regulation of T cell mediated immune response to tumor cell",3,3,2.98,"0.05782"
"GO:0009954","proximal/distal pattern formation",10,10,9.94,"0.05794"
"GO:0022029","telencephalon cell migration",47,47,46.71,"0.05807"
"GO:0032764","negative regulation of mast cell cytokine production",2,2,1.99,"0.05822"
"GO:1990051","activation of protein kinase C activity",4,4,3.98,"0.05822"
"GO:1902513","regulation of organelle transport along microtubule",9,9,8.94,"0.05831"
"GO:0061299","retina vasculature morphogenesis in camera-type eye",8,8,7.95,"0.05847"
"GO:0014706","striated muscle tissue development",270,268,268.34,"0.05848"
"GO:0051973","positive regulation of telomerase activity",33,33,32.8,"0.05853"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",36,35,35.78,"0.05858"
"GO:0106016","positive regulation of inflammatory response to wounding",2,2,1.99,"0.05860"
"GO:0002544","chronic inflammatory response",11,11,10.93,"0.05880"
"GO:0048639","positive regulation of developmental growth",150,150,149.08,"0.05882"
"GO:0035437","maintenance of protein localization in endoplasmic reticulum",11,11,10.93,"0.05888"
"GO:1904343","positive regulation of colon smooth muscle contraction",2,2,1.99,"0.05898"
"GO:0002537","nitric oxide production involved in inflammatory response",2,2,1.99,"0.05904"
"GO:0051702","interaction with symbiont",67,65,66.59,"0.05910"
"GO:0019240","citrulline biosynthetic process",3,3,2.98,"0.05940"
"GO:0001694","histamine biosynthetic process",2,2,1.99,"0.05946"
"GO:0016182","synaptic vesicle budding from endosome",3,3,2.98,"0.05956"
"GO:0070560","protein secretion by platelet",2,2,1.99,"0.05965"
"GO:1990074","polyuridylation-dependent mRNA catabolic process",2,2,1.99,"0.06006"
"GO:0007009","plasma membrane organization",82,81,81.5,"0.06016"
"GO:0002265","astrocyte activation involved in immune response",4,4,3.98,"0.06047"
